date,month_num,avg_temp,city
1936-01-01,1,28.2,boston
1936-02-01,2,22.8,boston
1936-03-01,3,41.8,boston
1936-04-01,4,45.3,boston
1936-05-01,5,60.6,boston
1936-06-01,6,66.6,boston
1936-07-01,7,71.1,boston
1936-08-01,8,69.7,boston
1936-09-01,9,62.6,boston
1936-10-01,10,54.5,boston
1936-11-01,11,39.5,boston
1936-12-01,12,34.9,boston
1937-01-01,1,37.4,boston
1937-02-01,2,33.2,boston
1937-03-01,3,34.1,boston
1937-04-01,4,45.3,boston
1937-05-01,5,59.1,boston
1937-06-01,6,66.4,boston
1937-07-01,7,73.2,boston
1937-08-01,8,74.5,boston
1937-09-01,9,62.9,boston
1937-10-01,10,52.6,boston
1937-11-01,11,44,boston
1937-12-01,12,31.2,boston
1938-01-01,1,28,boston
1938-02-01,2,30.6,boston
1938-03-01,3,39.1,boston
1938-04-01,4,48.7,boston
1938-05-01,5,55.8,boston
1938-06-01,6,67.3,boston
1938-07-01,7,71.8,boston
1938-08-01,8,73.6,boston
1938-09-01,9,62.2,boston
1938-10-01,10,56,boston
1938-11-01,11,46.4,boston
1938-12-01,12,34,boston
1939-01-01,1,27.9,boston
1939-02-01,2,32.4,boston
1939-03-01,3,32.9,boston
1939-04-01,4,43.8,boston
1939-05-01,5,56.4,boston
1939-06-01,6,65.7,boston
1939-07-01,7,72.3,boston
1939-08-01,8,73.8,boston
1939-09-01,9,64.5,boston
1939-10-01,10,54.1,boston
1939-11-01,11,40.8,boston
1939-12-01,12,33.4,boston
1940-01-01,1,23,boston
1940-02-01,2,29.6,boston
1940-03-01,3,33.1,boston
1940-04-01,4,43.6,boston
1940-05-01,5,56.3,boston
1940-06-01,6,65.1,boston
1940-07-01,7,71.5,boston
1940-08-01,8,68.5,boston
1940-09-01,9,63.3,boston
1940-10-01,10,50.6,boston
1940-11-01,11,42.9,boston
1940-12-01,12,34.3,boston
1941-01-01,1,25.3,boston
1941-02-01,2,29.4,boston
1941-03-01,3,33.4,boston
1941-04-01,4,51.6,boston
1941-05-01,5,59.9,boston
1941-06-01,6,68.2,boston
1941-07-01,7,71.4,boston
1941-08-01,8,70.6,boston
1941-09-01,9,66,boston
1941-10-01,10,55.9,boston
1941-11-01,11,48,boston
1941-12-01,12,35.2,boston
1942-01-01,1,28.5,boston
1942-02-01,2,27.2,boston
1942-03-01,3,40.8,boston
1942-04-01,4,49.7,boston
1942-05-01,5,60.7,boston
1942-06-01,6,67.4,boston
1942-07-01,7,71.1,boston
1942-08-01,8,70.7,boston
1942-09-01,9,64.5,boston
1942-10-01,10,55.8,boston
1942-11-01,11,43.5,boston
1942-12-01,12,28.6,boston
1943-01-01,1,25.5,boston
1943-02-01,2,30.6,boston
1943-03-01,3,36,boston
1943-04-01,4,43.4,boston
1943-05-01,5,57.6,boston
1943-06-01,6,71.1,boston
1943-07-01,7,74.1,boston
1943-08-01,8,71,boston
1943-09-01,9,62.9,boston
1943-10-01,10,53.9,boston
1943-11-01,11,43.3,boston
1943-12-01,12,29.5,boston
1944-01-01,1,30.9,boston
1944-02-01,2,29.6,boston
1944-03-01,3,34.1,boston
1944-04-01,4,44.7,boston
1944-05-01,5,63.2,boston
1944-06-01,6,67,boston
1944-07-01,7,73.8,boston
1944-08-01,8,74.7,boston
1944-09-01,9,65,boston
1944-10-01,10,53.7,boston
1944-11-01,11,43.2,boston
1944-12-01,12,30.8,boston
1945-01-01,1,23.7,boston
1945-02-01,2,30.5,boston
1945-03-01,3,46.3,boston
1945-04-01,4,52.5,boston
1945-05-01,5,55.1,boston
1945-06-01,6,66.6,boston
1945-07-01,7,71.9,boston
1945-08-01,8,70.7,boston
1945-09-01,9,67.1,boston
1945-10-01,10,53.1,boston
1945-11-01,11,45.5,boston
1945-12-01,12,28.5,boston
1946-01-01,1,28.3,boston
1946-02-01,2,27.6,boston
1946-03-01,3,47.2,boston
1946-04-01,4,46.1,boston
1946-05-01,5,58,boston
1946-06-01,6,67.5,boston
1946-07-01,7,70.9,boston
1946-08-01,8,67.8,boston
1946-09-01,9,65.9,boston
1946-10-01,10,58.4,boston
1946-11-01,11,47.9,boston
1946-12-01,12,34.8,boston
1947-01-01,1,32.6,boston
1947-02-01,2,29.6,boston
1947-03-01,3,37.7,boston
1947-04-01,4,47.1,boston
1947-05-01,5,56.9,boston
1947-06-01,6,65.4,boston
1947-07-01,7,74.3,boston
1947-08-01,8,73.1,boston
1947-09-01,9,64.7,boston
1947-10-01,10,61.5,boston
1947-11-01,11,41.2,boston
1947-12-01,12,30.4,boston
1948-01-01,1,23.3,boston
1948-02-01,2,26.9,boston
1948-03-01,3,38,boston
1948-04-01,4,48,boston
1948-05-01,5,55,boston
1948-06-01,6,63.6,boston
1948-07-01,7,74.5,boston
1948-08-01,8,73.7,boston
1948-09-01,9,65.7,boston
1948-10-01,10,54.3,boston
1948-11-01,11,49.6,boston
1948-12-01,12,36.3,boston
1949-01-01,1,34.7,boston
1949-02-01,2,34.4,boston
1949-03-01,3,39.2,boston
1949-04-01,4,50.9,boston
1949-05-01,5,60.3,boston
1949-06-01,6,71.6,boston
1949-07-01,7,76.3,boston
1949-08-01,8,74.4,boston
1949-09-01,9,63.2,boston
1949-10-01,10,58.4,boston
1949-11-01,11,43.5,boston
1949-12-01,12,36.8,boston
1950-01-01,1,36.2,boston
1950-02-01,2,28,boston
1950-03-01,3,33.7,boston
1950-04-01,4,46.7,boston
