year,min_temp,max_temp,avg_temp,precipitation,city
1936,4,98,49.8,46.27,boston
1937,10,99,51.2,43.23,boston
1938,3,94,51.1,49.17,boston
1939,4,96,49.8,32.45,boston
1940,2,95,48.5,35.99,boston
1941,3,96,51.2,30.87,boston
1942,-11,93,50.7,42.46,boston
1943,-14,97,49.9,32.25,boston
1944,6,101,50.9,37.07,boston
1945,-4,96,51,47.3,boston
1946,-3,96,51.7,38.07,boston
1947,8,99,51.2,37.91,boston
1948,-3,100,50.7,40.51,boston
1949,7,101,53.6,31.45,boston
1950,-1,93,51.2,32.7,boston
1951,1,92,52.2,46.97,boston
1952,1,100,52.5,40.6,boston
1953,10,100,53.6,57.73,boston
1954,-1,95,51.4,62.32,boston
1955,-2,100,51.4,56.5,boston
1956,5,97,50.6,47.39,boston
1957,-12,98,52.5,33.92,boston
1958,-4,93,50,61.65,boston
1959,0,96,51.8,51.41,boston
1960,7,93,51.4,44.46,boston
1961,-4,95,51,47.84,boston
1962,-4,92,49.8,43.23,boston
1963,-3,98,51,34.84,boston
1964,10,97,50.2,36.47,boston
1965,-4,93,49.6,23.71,boston
1966,3,97,51.4,36.01,boston
1967,-3,94,49.5,47.6,boston
1968,-4,98,50.4,42.28,boston
1969,7,95,51.2,47.78,boston
1970,3,94,50.9,41.91,boston
1971,2,94,51.2,35.67,boston
1972,0,94,50.4,53.11,boston
1973,1,99,53,42.75,boston
1974,-3,95,50.9,40.24,boston
1975,4,102,52.8,45.79,boston
1976,-4,95,52.2,36.72,boston
1977,3,102,52.5,44.17,boston
1978,3,99,50.3,37.64,boston
1979,-3,95,52.1,44.17,boston
1980,-7,99,50.6,29.39,boston
1981,-4,99,51.5,35.71,boston
1982,-2,98,51,44.61,boston
1983,0,99,53.2,53.6,boston
1984,1,98,51.6,50.24,boston
1985,6,93,51,36.59,boston
1986,1,95,50.9,44.33,boston
1987,-1,96,50.4,45.48,boston
1988,-4,99,51.3,34.78,boston
1989,4,96,50.3,42.42,boston
1990,3,93,53.2,46.5,boston
1991,4,99,53.4,42.25,boston
1992,7,92,50.2,43.72,boston
1993,2,99,51.6,43.21,boston
1994,-4,97,52.2,47.62,boston
1995,1,100,51.5,35.1,boston
1996,3,91,50.9,52.52,boston
1997,0,95,50.9,30.39,boston
1998,7,93,53,53.67,boston
1999,2,98,52.8,37.91,boston
2000,0,92,50.6,45.6,boston
2001,10,97,52.5,30.72,boston
2002,12,101,52.9,41.07,boston
2004,-7,93,50.8,44.57,boston
2005,-2,97,51,43.67,boston
2006,7,98,53.1,52.89,boston
2007,3,96,51.6,39.47,boston
