year,precipitation,city
1936,46.27,boston
1937,43.23,boston
1938,49.17,boston
1939,32.45,boston
1940,35.99,boston
1941,30.87,boston
1942,42.46,boston
1943,32.25,boston
1944,37.07,boston
1945,47.3,boston
1946,38.07,boston
1947,37.91,boston
1948,40.51,boston
1949,31.45,boston
1950,32.7,boston
1951,46.97,boston
1952,40.6,boston
1953,57.73,boston
1954,62.32,boston
1955,56.5,boston
1956,47.39,boston
1957,33.92,boston
1958,61.65,boston
1959,51.41,boston
1960,44.46,boston
1961,47.84,boston
1962,43.23,boston
1963,34.84,boston
1964,36.47,boston
1965,23.71,boston
1966,36.01,boston
1967,47.6,boston
1968,42.28,boston
1969,47.78,boston
1970,41.91,boston
1971,35.67,boston
1972,53.11,boston
1973,42.75,boston
1974,40.24,boston
1975,45.79,boston
1976,36.72,boston
1977,44.17,boston
1978,37.64,boston
1979,44.17,boston
1980,29.39,boston
1981,35.71,boston
1982,44.61,boston
1983,53.6,boston
1984,50.24,boston
1985,36.59,boston
1986,44.33,boston
1987,45.48,boston
1988,34.78,boston
1989,42.42,boston
1990,46.5,boston
1991,42.25,boston
1992,43.72,boston
1993,43.21,boston
1994,47.62,boston
1995,35.1,boston
1996,52.52,boston
1997,30.39,boston
1998,53.67,boston
1999,37.91,boston
2000,45.6,boston
2001,30.72,boston
2002,41.07,boston
2004,44.57,boston
2005,43.67,boston
2006,52.89,boston
2007,39.47,boston
2008,54.46,boston
2009,43.49,boston
2010,49.66,boston
2011,52.39,boston
2012,36.73,boston
2013,40.36,boston
2014,45.25,boston
2015,34.8,boston
2016,33.05,boston
2017,43.45,boston
2018,53.32,boston
2019,50.38,boston
2020,37.54,boston
2021,52.33,boston
1894,41.07,seattle
1895,29.69,seattle
1896,42.74,seattle
1897,41.53,seattle
1898,29.18,seattle
1899,37.13,seattle
1900,36.48,seattle
1901,30.18,seattle
1902,45.78,seattle
1903,34.55,seattle
1904,37.73,seattle
1905,34.35,seattle
1906,36.67,seattle
1907,29.1,seattle
1908,28.25,seattle
1909,31.72,seattle
1910,34.19,seattle
1911,21.69,seattle
1912,35.14,seattle
1913,24.59,seattle
1914,31.43,seattle
1915,33.83,seattle
1916,34.61,seattle
1917,28.9,seattle
1918,29.21,seattle
1919,31.34,seattle
1920,32.21,seattle
1921,39.81,seattle
1922,24.88,seattle
1923,27.89,seattle
1924,30.73,seattle
1925,25.78,seattle
1926,26.12,seattle
1927,32.85,seattle
1928,25.85,seattle
1929,20.03,seattle
1930,21.78,seattle
1931,36.08,seattle
1932,34.17,seattle
1933,44.91,seattle
1935,31.65,seattle
1936,31.04,seattle
1937,42.59,seattle
1938,23.08,seattle
1939,31.34,seattle
1940,34.76,seattle
1941,34.76,seattle
1942,31.1,seattle
1943,24.94,seattle
1944,19.85,seattle
1945,39.32,seattle
1946,34.57,seattle
1947,34.56,seattle
1948,42.23,seattle
1949,30.25,seattle
1950,46.95,seattle
1951,34.58,seattle
1952,19.52,seattle
1953,38.13,seattle
1954,38.19,seattle
1955,35.59,seattle
1956,32.11,seattle
1957,32.11,seattle
1958,36.21,seattle
1959,37.91,seattle
1960,36.62,seattle
1961,38.97,seattle
1962,30.52,seattle
1963,33.53,seattle
1964,37.06,seattle
1965,33.01,seattle
1966,37.88,seattle
1967,33.46,seattle
1968,48.14,seattle
1969,35.39,seattle
1970,37.04,seattle
1971,37.79,seattle
1973,35.01,seattle
1974,38.94,seattle
1975,45,seattle
1976,27.78,seattle
1977,38.33,seattle
1978,36.26,seattle
1979,34.87,seattle
1980,40.3,seattle
1981,39.77,seattle
1982,41.76,seattle
1983,46.11,seattle
1984,38.61,seattle
1985,28.54,seattle
1986,40.88,seattle
1987,31.59,seattle
1988,32.62,seattle
1989,32.7,seattle
1990,39.77,seattle
1991,34.31,seattle
1992,34.65,seattle
1993,29.54,seattle
1994,34.85,seattle
1995,42.94,seattle
1996,51.56,seattle
1997,45.37,seattle
2000,28.76,seattle
2001,36.82,seattle
2002,28.42,seattle
2004,31.21,seattle
2005,34.53,seattle
2006,45.05,seattle
2007,31.83,seattle
2008,30.46,seattle
2009,35.75,seattle
2010,42.57,seattle
2011,34.25,seattle
2012,46.91,seattle
2013,29.76,seattle
2014,46.77,seattle
2015,39.35,seattle
2016,45.03,seattle
2017,44.83,seattle
2018,37.26,seattle
2019,31.27,seattle
2020,44.57,seattle
2021,40,seattle
1869,45.25,nyc
1870,39.25,nyc
1871,51.38,nyc
1872,43.99,nyc
1873,47.99,nyc
1874,45.83,nyc
1875,40.67,nyc
1876,41.77,nyc
1877,40.18,nyc
1878,48.66,nyc
1879,39.03,nyc
1880,36.64,nyc
1881,36.26,nyc
1882,45.3,nyc
1883,35.77,nyc
1884,52.25,nyc
1885,35.37,nyc
1886,39.38,nyc
1887,43.99,nyc
1888,53.32,nyc
1889,58.18,nyc
1890,45.63,nyc
1891,39.43,nyc
1892,35.6,nyc
1893,48.26,nyc
1894,40.42,nyc
1895,35.37,nyc
1896,41.96,nyc
1897,44.55,nyc
1898,47.9,nyc
1899,38.57,nyc
1900,41.19,nyc
1901,48.69,nyc
1902,52.77,nyc
1903,58.32,nyc
1904,41.64,nyc
1905,37.44,nyc
1906,40.15,nyc
1907,46.74,nyc
1908,41.05,nyc
1909,41.67,nyc
1910,33.72,nyc
1911,48.82,nyc
1912,45.58,nyc
1913,58,nyc
1914,40.07,nyc
1915,45.73,nyc
1916,37.9,nyc
1917,41.04,nyc
1918,38.27,nyc
1919,53.29,nyc
1920,53.2,nyc
1921,37.76,nyc
1922,44.66,nyc
1923,40.57,nyc
1924,41.72,nyc
1925,41.43,nyc
1926,47.83,nyc
1927,56.06,nyc
1928,45.62,nyc
1929,40.38,nyc
1930,38.95,nyc
1931,36.07,nyc
1932,43.93,nyc
1933,53.53,nyc
1934,49.84,nyc
1935,33.85,nyc
1936,49.83,nyc
1937,52.97,nyc
1938,48.49,nyc
1939,38.55,nyc
1940,45.07,nyc
1941,39.04,nyc
1942,48.51,nyc
1943,36.74,nyc
1944,45.01,nyc
1945,44.98,nyc
1946,38.36,nyc
1947,40.79,nyc
1948,46.87,nyc
1949,36.22,nyc
1950,36.89,nyc
1951,43.76,nyc
1952,41.56,nyc
1953,45.2,nyc
1954,35.58,nyc
1955,39.9,nyc
1956,36.25,nyc
1957,36.49,nyc
1958,40.94,nyc
1959,38.77,nyc
1960,46.39,nyc
1961,39.32,nyc
1962,37.15,nyc
1963,34.28,nyc
1964,32.99,nyc
1965,26.09,nyc
1966,39.9,nyc
1967,49.12,nyc
1968,43.57,nyc
1969,48.54,nyc
1970,35.29,nyc
1971,56.77,nyc
1972,67.03,nyc
1973,57.23,nyc
1974,47.69,nyc
1975,61.21,nyc
1976,41.28,nyc
1977,54.73,nyc
1978,49.81,nyc
1979,52.13,nyc
1980,44.55,nyc
1981,38.11,nyc
1982,41.4,nyc
1983,80.56,nyc
1984,57.03,nyc
1985,38.82,nyc
1986,42.95,nyc
1987,46.44,nyc
1988,44.67,nyc
1989,65.11,nyc
1990,60.92,nyc
1991,45.18,nyc
1992,43.35,nyc
1993,44.28,nyc
1994,47.39,nyc
1995,40.42,nyc
1996,56.19,nyc
1997,43.93,nyc
1998,48.69,nyc
1999,41.51,nyc
2000,45.45,nyc
2001,35.65,nyc
2002,45.2,nyc
2003,58.42,nyc
2004,51.93,nyc
2005,55.97,nyc
2006,59.89,nyc
2007,61.67,nyc
2008,53.61,nyc
2009,53.62,nyc
2010,49.37,nyc
2011,72.81,nyc
2012,38.51,nyc
2013,46.32,nyc
2014,53.79,nyc
2015,40.97,nyc
2016,42.17,nyc
2017,45.04,nyc
2018,65.55,nyc
2019,53.03,nyc
2020,45.35,nyc
2021,59.73,nyc
1954,12.62,anchorage
1955,18.55,anchorage
1956,16.13,anchorage
1957,12.49,anchorage
1958,16.1,anchorage
1959,16.23,anchorage
1960,14.51,anchorage
1961,19.27,anchorage
1962,14.57,anchorage
1963,18.11,anchorage
1964,15.89,anchorage
1965,16.5,anchorage
1966,12.25,anchorage
1967,19.16,anchorage
1968,12.08,anchorage
1969,8.08,anchorage
1970,13.09,anchorage
1971,14.89,anchorage
1972,14.63,anchorage
1973,10.68,anchorage
1974,13.42,anchorage
1975,13.04,anchorage
1976,14.54,anchorage
1977,15.51,anchorage
1978,14.75,anchorage
1979,21.15,anchorage
1980,19.17,anchorage
1981,21.34,anchorage
1982,17.68,anchorage
1983,12.16,anchorage
1984,14.97,anchorage
1985,15.51,anchorage
1986,18.95,anchorage
1987,14.93,anchorage
1988,14.32,anchorage
1989,27.55,anchorage
1990,19.01,anchorage
1991,17.31,anchorage
1992,14.44,anchorage
1993,16.89,anchorage
1994,13.12,anchorage
1995,13.76,anchorage
1996,14.46,anchorage
1997,19.48,anchorage
1998,11.52,anchorage
1999,17.97,anchorage
2000,14.62,anchorage
2001,12.53,anchorage
2002,18.05,anchorage
2003,15.69,anchorage
2004,19.27,anchorage
2005,14.04,anchorage
2006,17.69,anchorage
2007,13.61,anchorage
2008,16.13,anchorage
2009,12.52,anchorage
2010,15.51,anchorage
2011,16.42,anchorage
2012,20.25,anchorage
2013,23.97,anchorage
2014,18.28,anchorage
2015,18.95,anchorage
2016,16.48,anchorage
2017,18.66,anchorage
2018,18.44,anchorage
2019,14.56,anchorage
2020,17.22,anchorage
